epoch,loss,average reward,conflicts,LoS,action LEFT,action RIGHT,action DIRECT,action LNAV,duration
334,,-0.3718518518518519,100,76,1263,0,0,1437,65.29
335,35.781211853027344,-0.37054631828978624,101,79,1243,0,0,1283,89.08
336,,-0.39517291066282423,101,90,1230,195,0,1351,61.13
337,,-0.38765432098765434,100,84,1156,193,0,1081,64.8
338,,-0.3679727427597956,100,86,1072,220,0,1056,53.78
339,,-0.375487900078064,101,82,1157,140,0,1265,58.86
340,27.360916137695312,-0.36731107205623903,100,77,993,200,0,1083,69.65
341,,-0.36617647058823527,102,76,1224,0,0,1496,61.43
342,,-0.36683848797250856,100,77,1101,0,0,1227,60.33
343,,-0.3718535469107552,102,80,1237,0,0,1385,58.18
344,,-0.3913202042304887,100,78,1323,0,0,1419,59.7
345,27.301828384399414,-0.35753317720530836,100,76,1271,0,0,1291,60.51
346,,-0.3890020366598778,100,89,1872,199,0,875,65.36
347,,-0.35353130016051365,100,78,1504,254,0,734,73.86
348,,-0.3847305389221557,101,77,1594,230,0,848,63.88
349,,-0.3673708920187793,101,80,1661,212,0,683,72.37
350,23.519344329833984,-0.37345932621199673,100,82,1480,158,0,796,95.2
351,,-0.37263339070567986,100,74,1061,0,0,1263,67.99
352,,-0.37920489296636084,100,80,1154,32,0,1430,83.26
353,,-0.3662020905923345,100,81,1258,1,0,1611,66.43
354,,-0.3633998265394623,103,79,993,0,0,1313,58.98
355,21.277019500732422,-0.370668815471394,101,80,1038,0,0,1444,81.54
356,,-0.3761744966442953,100,80,1442,16,0,1522,70.72
357,,-0.3616761594792514,101,76,1157,44,0,1257,64.09
358,,-0.35911371237458195,101,78,1165,16,0,1211,60.31
359,,-0.3815573770491803,100,81,1142,28,0,1270,59.54
360,16.07154655456543,-0.34819454679439943,100,77,1248,23,0,1443,66.64
361,,-0.34671221178479933,100,78,1053,84,0,1205,71.64
362,,-0.3652694610778443,100,78,1170,68,0,1434,63.83
363,,-0.3660637381567614,100,83,999,71,0,1252,65.09
364,,-0.3533440773569702,100,72,1053,60,0,1369,71.63
365,23.901512145996094,-0.3616427432216906,101,79,1083,67,0,1358,108.32
366,,-0.3784696174043511,100,76,1201,0,0,1465,81.81
367,,-0.3663065496286293,100,81,1322,0,0,1640,66.09
368,,-0.3902002861230329,100,78,1196,0,0,1600,66.11
369,,-0.37558869701726844,100,78,1176,0,0,1372,57.82
370,17.354999542236328,-0.36219221604447976,100,68,1162,0,0,1356,78.76
371,,-0.3649665551839465,100,86,1112,0,0,1280,61.39
372,,-0.3682656826568266,100,71,1180,0,0,1530,63.3
373,,-0.3504775900073475,100,82,1185,0,0,1537,62.85
374,,-0.3788332086761406,100,86,1200,0,0,1474,64.72
375,29.4005184173584,-0.3864455659697188,100,84,1179,0,0,1595,70.93
376,,-0.3521008403361345,100,78,1123,515,0,742,69.62
377,,-0.33943427620632277,102,78,1256,535,0,613,66.15
378,,-0.3460601137286759,101,76,1198,542,0,722,61.53
379,,-0.3737957610789981,100,83,1111,434,0,531,61.42
380,28.099231719970703,-0.3680672268907563,100,78,1271,485,0,624,89.42
381,,-0.3496985357450474,100,80,1018,0,0,1304,60.67
382,,-0.37399355877616747,102,72,1113,0,0,1371,68.68
383,,-0.3853677621283255,101,79,1163,0,0,1393,67.11
384,,-0.36638264910921764,101,77,1187,0,0,1395,73.8
385,29.078123092651367,-0.3850574712643678,100,82,1313,0,0,1471,79.65
386,,-0.35284552845528455,100,72,1194,516,0,750,64.8
387,,-0.3549651567944251,100,79,1157,480,0,659,68.68
388,,-0.35875943000838223,100,86,1195,530,0,661,52.51
389,,-0.32872655478775914,100,77,1022,427,0,577,56.74
390,29.7763614654541,-0.3508986928104575,103,79,1213,526,0,709,76.93
391,,-0.34513651877133106,100,77,1393,319,0,632,59.59
392,,-0.3730031948881789,105,81,1431,341,0,732,56.96
393,,-0.3784773060029283,102,88,1622,332,0,778,58.47
394,,-0.3826342899190581,100,92,1478,323,0,917,60.48
395,19.948293685913086,-0.38293051359516617,101,79,1550,344,0,754,60.08
396,,-0.3485558157689305,103,80,1168,86,0,1308,56.61
397,,-0.37653814602132896,101,76,1112,38,0,1288,62.17
398,,-0.37082728592162556,100,84,1172,63,0,1521,63.17
399,,-0.35344827586206895,100,77,1038,45,0,1237,60.46
400,30.762405395507812,-0.3442088091353997,101,76,1084,61,0,1307,62.19
401,,-0.37596302003081666,101,83,1179,0,0,1417,63.45
402,,-0.3669384729429207,102,76,1131,8,0,1559,69.88
403,,-0.36600587371512483,100,83,1172,1,0,1551,69.92
404,,-0.3538273615635179,100,78,1044,1,0,1411,64.24
405,23.685482025146484,-0.3713872832369942,101,82,1194,9,0,1565,62.49
406,,-0.3606945540647198,101,82,1631,30,0,873,61.1
