episode,loss,average reward,conflicts,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
258,2.1958556175231934,-0.2853832067855615,51,21,107,96,5,0,6,36.69,0.05
259,,-0.8433915248838683,50,23,81,79,2,0,0,35.09,0.05
260,2.5761380195617676,-0.212486091092076,51,18,104,96,3,0,5,36.34,0.05
261,,-0.10527387117160997,50,15,101,92,4,0,5,33.03,0.05
262,2.2134199142456055,-1.068804425914483,50,26,78,76,1,0,1,34.52,0.05
263,,-0.18554438649404442,50,16,98,92,3,0,3,34.47,0.05
264,2.2708897590637207,-1.0753061260638395,52,28,86,79,3,0,4,34.46,0.05
265,,-0.5082991021568616,53,20,86,78,5,0,3,33.01,0.05
266,2.183471441268921,-0.7981774164695692,51,27,93,87,3,0,3,32.13,0.05
267,,0.08215185678515967,51,11,79,73,3,0,3,33.08,0.05
268,1.9273635149002075,-0.9568066348430897,50,25,81,72,5,0,4,35.52,0.05
269,,-1.3709564458967618,51,30,79,72,2,0,5,32.1,0.05
270,2.400850534439087,-0.4740937672041237,50,20,89,84,3,0,2,34.85,0.05
271,,-0.6208653330606464,51,24,97,91,3,0,3,35.83,0.05
272,2.13407826423645,-0.22732296952818357,51,18,107,99,3,0,5,33.58,0.05
273,,-0.31463772044568633,51,17,84,75,7,0,2,34.91,0.05
274,2.2723031044006348,-0.05272394750535944,51,16,98,96,0,0,2,36.44,0.05
275,,-1.4609548156956245,51,33,83,69,7,0,7,32.1,0.05
276,2.397754669189453,-0.8597924658437678,50,19,67,62,3,0,2,31.32,0.05
277,,-1.5566615273233813,50,30,72,59,6,0,7,29.97,0.05
278,2.3277385234832764,-0.0036329159976825373,50,14,98,81,8,0,9,36.89,0.05
279,,-0.5932270958693319,51,23,92,88,3,0,1,34.24,0.05
280,2.016057252883911,-0.24346258806639637,50,16,91,86,2,0,3,34.1,0.05
281,,-0.20963814464191638,51,15,90,85,3,0,2,33.32,0.05
282,1.7501592636108398,-1.3873432039414662,50,29,75,70,3,0,2,31.29,0.05
283,,-0.9811216216735945,50,25,79,71,2,0,6,35.37,0.05
284,2.4660897254943848,-0.3389521159028958,51,16,79,76,2,0,1,32.57,0.05
285,,-0.22130521536636452,50,15,90,81,6,0,3,32.62,0.05
286,2.233292579650879,-0.8972780425754955,51,31,103,98,2,0,3,35.09,0.05
287,,0.06715270630848827,50,15,118,112,2,0,4,40.29,0.05
288,1.9422369003295898,-0.24484070954174994,50,17,90,69,11,0,10,32.75,0.05
289,,-0.11832068257593847,50,15,84,80,1,0,3,31.02,0.05
290,2.575448513031006,-0.582533686977328,52,25,102,92,9,0,1,34.51,0.05
291,,-0.46749796429998103,50,19,86,82,1,0,3,31.13,0.05
292,2.3525748252868652,-0.13706356197261912,51,16,102,94,5,0,3,33.23,0.05
293,,-1.3903248845274296,50,28,74,63,8,0,3,30.81,0.05
294,2.475446939468384,-0.36187901227026126,51,20,105,100,3,0,2,35.32,0.05
295,,-0.8448099164342896,51,26,89,75,9,0,5,30.26,0.05
