episode,loss,average reward,conflicts,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
1840,4.153212547302246,-0.7430828452226004,50,35,126,101,2,0,23,49.45,0.05
1841,,-0.7722286570557563,51,33,118,95,4,0,19,50.69,0.05
1842,3.3907837867736816,-0.7985496195218414,51,43,146,83,3,0,60,80.61,0.05
1843,,-1.6371927376855289,50,40,94,74,0,0,20,54.67,0.05
1844,3.015846014022827,-1.0564296153982191,51,35,107,88,1,0,18,40.0,0.05
1845,,-1.2537261557575978,50,29,82,68,2,0,12,40.71,0.05
1846,4.141205310821533,-0.8305135880183873,50,32,111,74,4,0,33,46.12,0.05
1847,,-2.149343737588247,50,42,83,72,1,0,10,45.55,0.05
1848,3.6954708099365234,-1.70678238555389,50,36,83,69,0,0,14,36.42,0.05
1849,,-0.5385856582636283,50,27,109,80,1,0,28,39.53,0.05
1850,3.2264926433563232,-1.1571397663870344,50,40,114,83,1,0,30,53.74,0.05
1851,,-0.7195746782393448,51,44,159,136,3,0,20,51.37,0.05
1852,3.5239033699035645,-1.761954984189265,51,39,88,71,1,0,16,40.86,0.05
1853,,-1.180994795998021,50,37,106,76,3,0,27,51.06,0.05
1854,3.1567180156707764,-0.8070963028085028,50,36,122,75,4,0,43,62.01,0.05
1855,,-1.3695674859912137,52,39,101,72,0,0,29,53.4,0.05
1856,3.3735992908477783,-1.8359299143991035,51,42,91,71,2,0,18,63.41,0.05
1857,,-0.9961295471205127,50,33,104,78,5,0,21,41.4,0.05
1858,3.0466132164001465,-0.9790446550500482,51,35,109,80,1,0,28,42.74,0.05
1859,,-0.40359588004918207,51,31,139,123,1,0,15,42.21,0.05
1860,3.214454174041748,-0.5663528870138902,50,27,107,72,0,0,35,49.75,0.05
1861,,-1.1284201977864377,51,40,117,90,3,0,24,38.92,0.05
1862,4.096311569213867,-0.5548627473135128,50,32,133,103,4,0,26,46.18,0.05
1863,,-1.0319059811691453,51,38,118,89,1,0,28,41.47,0.05
1864,3.1618542671203613,-0.7641162094204642,51,36,129,95,3,0,31,41.92,0.05
1865,,-1.002786884995485,30,26,80,43,1,0,36,94.42,0.05
1866,3.406169891357422,-1.9304280263866616,52,45,96,78,2,0,16,58.75,0.05
1867,,-1.1157181387429504,50,35,104,76,3,0,25,41.42,0.05
1868,3.7713422775268555,-1.1637501366076664,53,31,90,69,3,0,18,36.89,0.05
1869,,-0.7806180996936367,50,40,142,98,1,0,43,64.85,0.05
1870,3.1829469203948975,-1.030297077905689,50,40,123,84,0,0,39,63.42,0.05
1871,,-0.8688001403794201,50,35,117,87,2,0,28,50.7,0.05
1872,3.1315953731536865,-2.1492065079658103,51,44,86,73,0,0,13,41.18,0.05
1873,,-1.8574942710495204,50,42,90,73,0,0,17,41.76,0.05
1874,2.7081122398376465,-1.2048424768413746,50,37,103,82,0,0,21,46.88,0.05
1875,,-0.9643377462126933,50,33,105,78,3,0,24,35.27,0.05
1876,3.438908576965332,-0.9829763331932738,50,42,132,90,2,0,40,53.52,0.05
1877,,-0.47086305789157323,51,26,111,67,1,0,43,47.39,0.05
1878,3.320399522781372,-1.2281656408670263,50,45,127,96,3,0,28,53.96,0.05
1879,,-0.16726468270700465,50,26,144,109,3,0,32,46.06,0.05
1880,3.135305881500244,-0.8487278401631403,50,42,141,102,1,0,38,74.49,0.05
1881,,-1.0026506509797743,50,34,105,73,4,0,28,44.95,0.05
1882,3.4904258251190186,-1.4147744617795788,52,39,99,74,0,0,25,69.47,0.05
1883,,-1.7886066659450848,50,41,91,73,1,0,17,63.91,0.05
1884,3.097766876220703,-1.5060734631234935,51,41,100,75,5,0,20,46.14,0.05
1885,,-1.0528412314276683,51,38,115,82,2,0,31,49.0,0.05
1886,2.989438533782959,-1.611856785619716,51,44,104,80,0,0,24,46.45,0.05
1887,,-1.5456827491028786,50,41,98,77,1,0,20,47.1,0.05
